MEAN_MOTION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY
15.49326013,78.8949,93.3494,226.6163
15.49230953,78.8911,96.668,225.1443
15.46966157,78.8927,84.6044,236.1485
15.49309135,78.8828,76.517,249.2079
15.49258217,78.8744,88.7402,241.0231
15.7526397,76.9409,97.3397,107.8098
15.49289977,78.8708,85.3274,246.1496
15.48474091,78.8634,84.1652,250.7328
15.49416267,78.8666,95.1219,238.3789
15.49399527,78.8588,83.0353,254.1658
15.49310882,78.8548,89.309,249.8254
15.47757205,78.8531,100.7842,238.931
15.49325797,78.8469,95.0813,247.8549
15.49280633,78.8428,90.4843,254.3802
15.49307178,78.8387,86.5234,260.279
15.49302088,78.8308,93.0292,257.6058
15.73831591,78.7731,129.1841,230.9291
15.49228542,78.8269,105.3262,247.1503
15.49270349,78.8225,98.1987,256.2995
15.44102076,78.8483,79.5839,261.7523
15.49304572,78.8148,95.2951,263.0081
15.49295553,78.8107,94.1545,266.0705
1.09809624,355.9791,187.7925,139.9006
1.09000805,357.6757,184.9178,265.7366
1.10005472,355.6105,187.8727,139.0225
1.08199063,355.8383,187.7325,140.7903
1.16219878,355.1216,189.0609,128.9032
15.32516718,140.8634,5.4752,354.6394
15.32516718,140.8634,5.4752,354.6394
15.76917186,130.6233,355.3401,4.7564
15.77862835,163.6139,289.1962,70.8765
15.77859442,163.5323,280.9878,79.0823
15.77859024,163.5728,257.014,103.0431
15.77857533,163.4901,271.2925,88.7848
15.77852862,162.9758,276.1278,168.676
15.77893636,162.906,269.7913,202.7395
15.77873281,162.8349,270.1621,230.1285
15.77902928,162.7653,267.892,260.1376
15.79878634,162.7031,280.131,272.6691
15.83852192,165.2104,299.3637,60.6545
15.84424853,163.6535,272.7298,87.3366
15.84378263,163.6518,257.8726,102.199
15.8445652,163.6517,262.9525,97.1113
15.51107433,164.2143,274.3305,32.1563
15.51101508,164.2092,284.9449,23.4579
15.51101094,164.205,285.5867,24.7332
15.51102123,164.1941,284.6114,29.5414
15.51111134,164.1896,275.5356,40.5346
15.51101618,164.1995,284.9614,27.2749
15.51102254,164.1847,284.541,33.4457
15.51109882,164.1799,274.1996,45.7053
1.26418201,318.6966,181.7701,306.5259
1.41661072,317.332,184.2121,157.9418
1.00272383,43.6051,183.4768,6.9561
2.23473482,37.0362,190.6809,134.141
15.59856732,77.8273,271.9436,287.3879
15.59852614,77.8215,273.2913,287.9587
15.59852817,77.8118,272.2377,292.8465
15.59853461,77.8169,272.0466,291.1202
15.59851568,77.8067,272.1596,294.8426
15.59851816,77.8019,271.6241,297.2951
15.59852553,77.7922,270.9993,301.7533
15.59852741,77.7971,271.6908,299.1447
15.59851454,77.7874,270.7471,303.9236
15.59855326,77.7829,271.0737,305.5125
15.59851906,77.7772,270.6493,307.8551
15.59852732,77.7723,270.78,309.6406
15.59852269,77.7673,269.8574,312.481
15.59852729,77.7625,271.0528,313.2015
15.59852387,77.7572,269.4183,316.7537
15.5985471,77.7519,267.4118,320.6772
15.59852352,77.7474,270.8599,319.1461
15.59850569,77.7422,270.1502,321.7744
15.63887859,77.2564,277.2229,149.9127
15.80875773,75.774,273.2019,21.1556
15.66822779,77.0366,277.5761,237.2724
15.59851814,77.7327,269.8488,325.909
15.59856353,77.7278,268.9756,328.6975
15.59850637,77.7234,269.4941,330.0986
15.77836947,10.5831,249.8739,160.9492
15.77852176,10.5142,263.5716,174.9983
15.77998952,10.4455,262.5664,203.6046
15.78082893,10.3761,268.683,225.2606
15.80836454,10.3169,272.528,245.0807
15.83772088,10.0818,256.324,103.7252
15.8446327,10.0728,224.3618,135.7115
15.8446206,10.0667,291.5849,68.4816
15.84424802,10.0574,275.5848,84.4853
15.84426492,10.0499,261.6206,98.45
15.809626,9.9014,273.3759,48.3464
15.8446174,10.4227,222.1263,137.9474
15.84447943,10.4183,271.4603,88.6008
15.71025247,10.4909,277.7689,169.1449
15.71020087,10.4859,277.4323,171.4008
15.71022145,10.4808,272.9136,177.8328
15.71022363,10.4761,283.0973,169.5631
15.71026118,10.4663,278.3351,178.1624
15.71023221,10.4712,260.0293,194.5542
15.71026095,10.4615,270.4231,187.9897
15.71022328,10.4566,279.1659,181.1657
15.77852555,84.2635,267.9306,92.1407
15.77870303,82.5127,266.7223,250.4559
15.77873507,82.4435,270.114,274.8153
15.78391474,82.3794,266.1381,304.4998
15.78229343,82.3052,271.0111,329.2254
15.83752026,84.0608,340.2262,19.8589
15.80645303,82.2501,271.8783,350.3713
15.85096542,84.0535,294.1314,65.942
15.85129912,84.0518,253.3991,106.672
15.85165541,84.0489,284.8715,75.2005
15.8513257,84.0438,271.7526,88.316
15.85121143,84.0411,309.8096,50.2601
15.85112989,84.0355,297.0184,63.0528
15.73827108,82.4768,277.247,253.7987
15.73828834,82.4721,274.4254,258.5406
15.7382876,82.4673,272.6244,262.2597
15.73828637,82.4623,265.1348,271.6654
15.73824845,82.4577,260.0379,278.6854
15.73827185,82.4527,262.0153,278.6146
15.73861652,82.4477,282.7599,259.7968
15.73824708,82.443,269.5062,274.9657
14.74047806,77.7752,297.9086,62.0837
14.77213952,76.0169,330.2517,29.745
14.77040192,76.0268,333.5621,26.4548
14.76053481,77.1432,336.7998,23.2346
14.73813308,76.0672,326.4384,33.6008
14.76361022,77.1385,328.1347,31.878
14.76717013,76.0291,334.8745,25.1492
14.76450066,76.0383,330.261,29.7544
14.73523296,76.0725,324.6366,35.4034
14.75195954,76.0602,324.3189,35.6989
14.75163703,76.0617,323.9145,36.1033
15.55076967,71.7943,29.9605,331.7172
15.7785529,67.1105,273.6009,261.9311
15.77863312,67.0402,268.9685,294.308
15.79584348,66.9768,269.5197,319.2675
15.8311948,69.1347,288.8943,71.1734
15.84450952,69.1287,250.3023,109.7701
15.84576377,69.1255,265.8443,94.2314
15.84486783,69.1214,274.2013,85.8706
15.95786386,66.3676,281.8463,188.815
15.84434426,69.1132,237.6201,122.4479
15.84454414,69.1111,264.0013,96.0682
15.84516707,69.1077,257.3319,102.7386
15.84419406,69.1039,268.7184,91.3528
15.84419148,69.0988,236.8317,123.2413
15.75800858,66.9995,273.2613,306.1427
15.75713554,66.9942,277.1822,304.2212
15.75656817,66.9891,273.9753,309.3927
15.75588867,66.9844,265.4986,319.8405
15.75531345,66.9791,272.8472,314.4502
15.75428426,66.9745,272.4789,316.8021
15.75363606,66.9698,277.638,313.6013
15.7532382,66.9647,284.8602,308.319
0.12641706,359.0739,346.42,0.0135
0.10673359,0.1839,345.57,0.723
0.12641706,359.0739,346.42,0.0135
0.10673359,0.1839,345.57,0.723
3.843178,33.2186,273.1429,34.2547
15.14329512,101.7448,242.8832,117.1518
15.14578197,101.6812,240.9761,119.0572
15.14563851,101.6808,238.5356,121.5038
15.1450655,101.7446,229.7333,130.3142
15.09531777,192.9511,266.888,93.0774
15.09354948,192.9515,265.8783,94.088
15.09456333,192.7558,268.3545,91.6117
15.09572167,191.7692,273.1637,86.8026
15.0958154,190.9772,278.2532,81.7137
15.82959565,310.4699,262.2239,44.1208
15.83054459,310.4673,267.6876,39.6722
15.83269664,310.4618,254.7239,54.9358
15.8315577,310.4646,268.7274,39.7199
15.83385251,310.4585,267.7136,43.1482
15.83491361,310.4557,257.3653,54.6345
15.83589351,310.453,259.3711,53.6887
15.83703784,310.45,265.1016,49.1303
15.8380091,310.4473,263.184,52.0997
15.84023628,310.4415,257.6987,59.929
15.83907551,310.4443,268.7072,47.7225
15.84238456,310.4356,267.9577,51.9319
15.84123169,310.4384,263.9265,54.7693
15.84355332,310.4322,258.0744,63.0526
15.84456139,310.4298,263.0488,59.1491
15.84572414,310.4266,265.5695,57.8473
15.84685808,310.4236,256.4472,68.1465
15.84811024,310.4204,263.7917,62.095
15.849009,310.4179,262.9529,63.9204
15.85026934,310.4147,257.1569,71.0029
15.85126421,310.4123,263.8242,65.3489
15.87001538,311.9523,275.1108,84.9451
15.86467296,311.1736,238.1317,121.9356
16.01013782,65.8789,48.1738,151.8423
15.95261958,65.9655,64.4723,93.9853
15.9535153,65.9637,57.3859,101.9504
15.95467497,65.9615,45.6172,114.7108
15.95586768,65.9595,55.1783,106.1837
15.95704422,65.9575,95.5958,66.7943
15.958246,65.9554,77.8533,85.5802
15.95927345,65.9534,63.2773,101.0936
15.96062548,65.951,60.5462,104.9307
15.96174134,65.949,62.982,103.5069
15.96263402,65.9471,59.0345,108.2907
15.96378694,65.9451,50.3326,117.991
15.96601727,65.9411,50.594,119.7109
15.96479057,65.9432,62.973,106.2997
15.96720576,65.9388,62.0587,109.278
15.96833345,65.9371,47.483,124.8484
15.96963499,65.9344,64.2548,109.1725
15.97062334,65.9325,67.5311,106.8118
15.97183902,65.9306,54.4895,120.878
15.9728804,65.9285,75.7943,100.5241
15.9743016,65.9262,71.6494,105.791
15.97495896,65.9246,73.9122,104.3034
15.97640173,65.9221,66.5845,112.7845
15.9774677,65.92,52.727,127.5871
15.97863301,65.9182,69.7462,111.565
15.98120865,65.9136,69.1034,114.3638
15.97997432,65.9158,77.13,105.2877
2.28112302,353.3842,179.8015,132.0558
2.38077957,352.9146,179.8705,180.8143
